Marca;Modelo;Precio;P/N;Valoración;Valoraciones 5 estrellas;Valoraciones 4 estrellas;Valoraciones 3 estrellas;Valoraciones 2 estrellas;Valoraciones 1 estrellas
Xiaomi;Xiaomi Redmi Note 14 4G 8/256GB Negro Medianoche Libre;179,00€;MZB0IKVEU;4,6/5;394;83;13;2;15
Apple;Apple iPhone 16 Pro Max 256GB Titanio Negro Libre Reacondicionado;959,00€;MYWV3QL/A;4,6/5;634;35;11;9;24
Apple;Apple iPhone 17 Pro 256GB Azul Oscuro;1319,00€;MG8J4QL/A;4,6/5;14;1;0;0;1
Apple;Apple iPhone 16 128GB Blanco;809,00€;MYE93QL/A;4,6/5;497;36;5;9;25
Samsung;Samsung Galaxy S25 Ultra Smartphone con IA Almacenamiento 256GB Batería 5.000mAh Titanio Gris;1199,00€;SM-S938BZTDEUB;4,8/5;14401;1623;253;73;97
Samsung;Samsung Galaxy A16 LTE 8/256GB Negro Libre;189,00€;SM-A165FZKCEUB;4,3/5;269;69;24;14;25
Samsung;Samsung Galaxy S25 Ultra Smartphone con IA Almacenamiento 512GB Batería 5.000mAh Titanio Azul;1199,00€;SM-S938BZBGEUB;4,8/5;14401;1623;253;73;97
Apple;Apple iPhone Air 256GB Negro Espacial;1179,00€;MG2L4QL/A;4,4/5;12;0;0;1;1
Apple;Apple iPhone 17 256GB Negro;959,00€;MG6J4QL/A;5/5;14;0;0;0;0
Xiaomi;Xiaomi Redmi Note 14 Pro 5G 8/256GB Negro Medianoche Libre;278,99€;MZB0I8BEU;4,6/5;532;108;8;4;15
Apple;Replay iPhone 14 PRO 128GB Morado Refurbished;599,00€;IPREA028;4/5;56;10;3;2;12
Apple;Apple iPhone 16 128GB Negro;809,00€;MYE73QL/A;4,6/5;497;36;5;9;25
Apple;Apple iPhone Air 256GB Azul Cielo;1219,00€;MG2P4QL/A;4,4/5;12;0;0;1;1
Apple;Apple iPhone 16 128GB Rosa;819,00€;MYEA3QL/A;4,6/5;497;36;5;9;25
Samsung;Samsung Galaxy A16 LTE 4/128GB Negro Libre;159,00€;SM-A165FZKBEUB;4,3/5;269;69;24;14;25
Samsung;Samsung Galaxy S25 Ultra Smartphone con IA 512 GB Batería 5000mAh Titanio Negro Intenso;1199,00€;SM-S938BAKGEUB;4,8/5;14401;1623;253;73;97
Samsung;Smartphone Samsung Galaxy A56 5G Enterprise Edition 8GB 256GB Super AMOLED 120Hz Grafito;345,99€;SM-A566BZKCEEB;4,7/5;1137;175;43;12;19
Xiaomi;Xiaomi Redmi Note 14 4G 8/256GB Azul Océano Libre;179,00€;MZB0IYWEU;4,6/5;394;83;13;2;15
Samsung;Samsung Galaxy S24 8/256GB Negro Onyx  Libre;589,00€;SM-S921BZKGEUB;4,6/5;13044;3094;862;365;363
Xiaomi;"Xiaomi 15T Pro 12GB 512GB 6.83"" AMOLED 5G Dual SIM Cámara Leica 50MP Android 16 Negro";899,00€;MZB0KUQEU;4,5/5;4;1;0;0;0
Apple;Apple iPhone 16 Pro Max 512GB Titanio Blanco Libre;1629,00€;MYX13QL/A;4,6/5;634;35;11;9;24
Apple;Replay iPhone 13 128GB Verde Refurbished;349,00€;TE654AGREEN;4,4/5;153;23;8;1;11
Xiaomi;Xiaomi Redmi Note 14 4G 6/128GB Negro Medianoche Libre;138,99€;MZB0J01EU;4,6/5;394;83;13;2;15
Apple;Replay iPhone 14 128GB Blanco Refurbished;425,00€;Smar14BlFn;4/5;17;6;1;1;3
Xiaomi;Xiaomi Redmi Note 14 4G 8/256GB Verde Lima Libre;179,00€;MZB0IZZEU;4,6/5;394;83;13;2;15
Xiaomi;Xiaomi Redmi Note 14 Pro 5G 12/512GB Negro Medianoche Libre;378,98€;MZB0I8CEU;4,6/5;532;108;8;4;15
Xiaomi;Xiaomi Redmi Note 14 5G 8/256GB Negro Medianoche Libre;248,99€;MZB0INYEU;4,6/5;190;45;7;2;7
Motorola;"Motorola Moto G15 6.72"" 4/128GB 5200mAh Android 15 Verde Libre";99,00€;PB6E0005SE;4,6/5;30;5;1;0;1
Xiaomi;"Xiaomi 15T 12GB 512GB 6.83"" AMOLED 5G Dual SIM Cámara Leica 50MP Android 16 Negro";699,00€;MZB0KYPEU;4,5/5;4;1;0;0;0
Xiaomi;"Xiaomi Redmi A5 Smartphone 6.88"" 3GB/64GB Dual SIM 4G 5200mAh 15W Negro";78,99€;MZB0JSEEU;4,1/5;17;7;3;0;2
Samsung;Samsung Galaxy S24 8/256GB Violeta Cobalt Libre;589,00€;SM-S921BZVGEUB;4,6/5;13044;3094;862;365;363
Oppo;OPPO A40m 8/256GB Negro Libre;139,00€;110010347676;4,3/5;28;8;1;1;3
Samsung;"Samsung Galaxy A17 5G 8GB 256GB 6.7"" Super AMOLED Móvil con IA y Batería Larga Duración Negro";279,00€;SM-A176BZKDEUB;5/5;2;0;0;0;0
Xiaomi;Xiaomi Redmi Note 14 Pro Plus 5G 8/256GB Negro Medianoche Libre;348,99€;MZB0I9OEU;4,5/5;153;31;6;3;8
Samsung;Samsung Galaxy A16 LTE 4/128GB Verde Claro Libre;159,00€;SM-A165FLGBEUB;4,3/5;269;69;24;14;25
Google;"Smartphone Google Pixel 10 12GB 256GB 5G Dual SIM 6.3"" OLED Gemini IA 4970mAh Negro Obsidiana";949,00€;GA09883-GB;4,6/5;14;2;1;0;0
Xiaomi;Xiaomi Redmi 14C 4/128GB Negro;117,70€;XR14C128N;4,5/5;543;131;24;8;16
Oppo;OPPO A40 4/128GB Negro Libre;99,00€;110010347455;4,3/5;28;8;1;1;3
Apple;Replay iPhone 14 128GB Negro Refurbished;430,00€;Smar14NeFn;4/5;17;6;1;1;3
Apple;Replay iPhone 13 128GB Azul Refurbished;349,00€;TE654ABLUE;4,4/5;153;23;8;1;11
Apple;Replay iPhone 14 128GB Azul Refurbished;439,00€;Smar14AzFn;4/5;17;6;1;1;3
POCO;POCO X7 5G 8/256GB Plata Libre;229,00€;MZB0IQ4EU;4,7/5;71;8;2;0;3
Xiaomi;Xiaomi 14T 12/256GB Negro Titanio Libre;457,99€;MZB0HUBEU;4,6/5;716;139;13;6;21
Xiaomi;"Xiaomi 15T 12GB 256GB 6.83"" AMOLED 5G Dual SIM Cámara Leica 50MP Android 16 Negro";649,00€;MZB0KY5EU;4,5/5;4;1;0;0;0
Apple;Apple iPhone Air 256GB Dorado Claro;1219,00€;MG2N4QL/A;4,4/5;12;0;0;1;1
Apple;Replay iPhone 14 128GB Purpura Refurbished;439,00€;Smar14PurFn;4/5;17;6;1;1;3
Xiaomi;"Xiaomi Redmi 15 4G 8GB 256GB 6.9"" FHD+ 144Hz 7000mAh Dual SIM NFC Negro Medianoche";158,99€;MZB0KPLEU;4,5/5;31;5;3;1;1
Xiaomi;Xiaomi Redmi Note 14 Pro 4G 8/256GB Negro Medianoche Libre;228,99€;MZB0ID5EU;4,6/5;532;108;8;4;15
POCO;POCO X7 5G 8/256GB Verde Libre;229,00€;MZB0IRIEU;4,7/5;71;8;2;0;3
Apple;Apple iPhone 14 128GB Medianoche Libre;589,00€;MPUF3QL/A;4,6/5;944;122;15;9;45
Apple;Apple iPhone 16 256GB Negro;939,00€;MYEE3QL/A;4,6/5;497;36;5;9;25
Xiaomi;"Xiaomi 15T Pro 12GB 256GB 6.83"" AMOLED 5G Dual SIM Cámara Leica 50MP Android 16 Negro";749,00€;MZB0KUHEU;4,5/5;4;1;0;0;0
Apple;Apple iPhone 16 128GB Azul Ultramar;815,00€;MYEC3QL/A;4,6/5;497;36;5;9;25
Realme;"Realme 14 Pro Plus 5G 12GB/512GB Smartphone 6.83"" 120Hz 80W Android 15 Gris + Cargador 120W";429,00€;631011004924-B;4,6/5;51;12;4;1;0
Xiaomi;Xiaomi 14T 12/256GB Gris Titanio Libre;381,98€;MZB0HUDEU;4,6/5;716;139;13;6;21
Xiaomi;"Xiaomi Redmi A5 Smartphone 6.88"" 4GB/128GB Dual SIM 4G 5200mAh 15W Negro";98,99€;MZB0JRYEU;4,1/5;17;7;3;0;2
Apple;Apple iPhone 16 Pro Max 256GB Titanio Natural Libre;1329,00€;MYWY3QL/A;4,6/5;634;35;11;9;24
OnePlus;"Smartphone OnePlus Nord CE5 5G 8GB 256GB 6.77"" AMOLED 120Hz 50MP 5200mAh 80W Black Infinity";349,00€;5011113507;4,9/5;6;0;0;0;0
Motorola;"Motorola Moto G15 6.72"" 8/256GB 5200mAh Android 15 Gris Libre";129,00€;PB6E0018ES;4,6/5;30;5;1;0;1
Apple;Replay iPhone 14 Pro 128GB Negro Refurbished;619,00€;IPREA632;4/5;56;10;3;2;12
Samsung;"Samsung Galaxy A56 5G 8GB/128GB Smartphone 6.7"" Super AMOLED 50MP 5000mAh 45W Android 15 Rosa";429,00€;SM-A566BLIAEUB;4,7/5;1137;175;43;12;19
Apple;Replay iPhone 14 128GB Rojo Refurbished;425,00€;Smar14RjFn;4/5;17;6;1;1;3
Samsung;Samsung Galaxy S25 Ultra Smartphone con IA Almacenamiento 512GB Batería 5.000mAh Titanio Plata;1199,00€;SM-S938BZSGEUB;4,8/5;14401;1623;253;73;97
Apple;Apple iPhone 16 Plus 128GB Rosa;929,00€;MXVW3QL/A;4,6/5;107;5;0;1;8
OnePlus;OnePlus Nord 3 5G 8/128GB Misty Green Libre;247,27€;5011103075;4,6/5;136;26;3;2;3
Apple;Replay Apple iPhone 13 Pro 128GB Grafito Libre Refurbished;469,00€;Iphone13P128Black;4,3/5;37;3;5;2;3
Samsung;Samsung Galaxy S25 Ultra Smartphone con IA Almacenamiento 1TB Batería 5.000mAh Titanio Negro;1699,00€;SM-S938BZKHEUB;4,8/5;14401;1623;253;73;97
